"user_id","age","gender","married","has_children","total_sessions","total_page_clicks","avg_page_clicks_per_session","mean_session_time","total_flights_booked","total_hotels_booked","total_cancellations","avg_flight_discount","avg_hotel_discount","total_checked_bags","percentage_flights_with_checked_bags","avg_base_fare_usd","avg_hotel_per_room_usd","scaled_ads_per_km","discount_flight_proportion","last_session_time"
"23557","64","F","1","0","8","82","10.25","76.6250000000000000","0","2","0","0.00000000000000000000","0.25000000000000000000","","0","","177.0000000000000000","","0","2023-07-14 12:36:00"
"94883","51","F","1","0","8","73","9.125","67.7500000000000000","2","2","0","0.00000000000000000000","0.12500000000000000000","1","50","432.0450000000000000","90.0000000000000000","","0","2023-05-28 17:28:00"
"101486","50","F","1","1","8","131","16.375","122.2500000000000000","1","2","0","0.25000000000000000000","0.00000000000000000000","0","0","189.9100000000000000","198.5000000000000000","","0.25","2023-07-18 09:35:00"
"101961","42","F","1","0","8","126","15.75","117.7500000000000000","5","5","0","0.25000000000000000000","0.12500000000000000000","2","40","248.5320000000000000","136.0000000000000000","0.004792436221347635","0.25","2023-06-22 13:27:00"
"106907","44","F","1","1","8","240","30","758.9150661250000000","2","2","1","0.12500000000000000000","0.12500000000000000000","10","500","13902.0600000000000000","129.0000000000000000","","0","2023-07-27 09:43:48"
"118043","51","F","0","1","8","164","20.5","153.1250000000000000","3","4","0","0.25000000000000000000","0.37500000000000000000","3","100","779.7633333333333333","227.2500000000000000","","0.25","2023-07-15 02:05:00"
"120851","50","F","1","1","8","55","6.875","51.7500000000000000","1","1","0","0.25000000000000000000","0.00000000000000000000","0","0","384.6800000000000000","182.0000000000000000","","0.25","2023-06-12 07:31:00"
"125845","39","F","1","0","9","159","17.666666666666668","131.7777777777777778","3","3","0","0.11111111111111111111","0.11111111111111111111","2","66","584.4400000000000000","123.6666666666666667","0.09206268342064919","0.1111111111111111","2023-07-20 13:15:00"
"133058","18","F","0","0","8","73","9.125","68.1250000000000000","1","0","0","0.00000000000000000000","0.12500000000000000000","0","0","423.5100000000000000","","","0","2023-07-16 20:27:00"
"149058","50","F","0","1","8","142","17.75","131.7500000000000000","5","5","0","0.12500000000000000000","0.00000000000000000000","2","40","385.7320000000000000","168.6000000000000000","0.006624570337940245","0.125","2023-06-19 16:57:00"
"152583","37","F","0","0","8","149","18.625","139.0000000000000000","1","1","0","0.12500000000000000000","0.12500000000000000000","2","200","367.8300000000000000","213.0000000000000000","","0.125","2023-06-05 21:34:00"
"153982","45","F","0","1","8","150","18.75","138.5000000000000000","3","3","0","0.00000000000000000000","0.12500000000000000000","1","33","218.9566666666666667","207.0000000000000000","","0","2023-07-20 20:37:00"
"160754","45","F","1","1","8","86","10.75","80.8750000000000000","1","1","0","0.00000000000000000000","0.00000000000000000000","1","100","93.6200000000000000","214.0000000000000000","","0","2023-06-26 19:58:00"
"164522","47","F","1","0","8","89","11.125","83.3750000000000000","1","1","0","0.25000000000000000000","0.12500000000000000000","1","100","328.3200000000000000","233.0000000000000000","0.06718476811154192","0.25","2023-07-14 21:10:00"
"167852","17","F","0","0","8","63","7.875","58.0000000000000000","0","0","0","0.12500000000000000000","0.25000000000000000000","","0","","","","0.125","2023-04-25 17:14:00"
"171470","23","F","0","0","8","446","55.75","1842.5000000000000000","3","2","2","0.37500000000000000000","0.25000000000000000000","1","33","3679.3566666666666667","","0.04006375510940377","0.125","2023-07-10 02:46:09"
"174997","31","F","0","0","8","252","31.5","991.7500000000000000","3","3","1","0.12500000000000000000","0.37500000000000000000","1","33","1075.4966666666666667","112.0000000000000000","","0","2023-07-15 05:27:00"
"175032","28","F","0","0","9","127","14.11111111111111","104.3333333333333333","2","3","0","0.11111111111111111111","0.22222222222222222222","1","50","554.6250000000000000","139.0000000000000000","","0.1111111111111111","2023-07-20 21:09:00"
"181157","53","F","1","0","8","153","19.125","141.1250000000000000","3","3","0","0.25000000000000000000","0.12500000000000000000","3","100","346.4766666666666667","162.3333333333333333","0.1643111323259698","0.25","2023-07-07 10:41:00"
"182191","18","F","0","1","8","148","18.5","665.7879690000000000","1","1","1","0.12500000000000000000","0.25000000000000000000","1","100","537.6700000000000000","","","0","2023-07-04 16:43:00"
"187212","54","F","1","1","8","128","16","118.7500000000000000","3","3","0","0.12500000000000000000","0.12500000000000000000","2","66","414.1900000000000000","217.3333333333333333","","0.125","2023-06-09 18:13:00"
"189676","35","F","0","1","8","93","11.625","86.3750000000000000","1","2","0","0.12500000000000000000","0.00000000000000000000","2","200","1244.3100000000000000","180.5000000000000000","","0.125","2023-05-03 19:49:00"
"190866","36","F","0","0","9","186","20.666666666666668","153.8888888888888889","5","5","0","0.00000000000000000000","0.11111111111111111111","2","40","416.2000000000000000","169.2000000000000000","","0","2023-07-03 11:02:00"
"195192","27","F","0","0","8","225","28.125","208.3750000000000000","1","1","0","0.12500000000000000000","0.12500000000000000000","0","0","394.2900000000000000","160.0000000000000000","","0.125","2023-05-29 17:03:00"
"204943","40","M","0","0","8","292","36.5","1043.5000000000000000","7","7","1","0.37500000000000000000","0.12500000000000000000","9","128","475.9657142857142857","191.5714285714285714","0.014928498061614467","0.25","2023-07-28 12:51:08"
"204997","38","F","1","0","8","439","54.875","1399.1779502500000000","5","4","2","0.37500000000000000000","0.50000000000000000000","3","60","991.1260000000000000","152.2500000000000000","0.056094837073903496","0.125","2023-07-10 17:00:00"
"205044","40","F","1","1","9","134","14.88888888888889","110.3333333333333333","3","3","0","0.11111111111111111111","0.00000000000000000000","1","33","916.1166666666666667","249.3333333333333333","0.02808370584010542","0.1111111111111111","2023-06-07 04:06:00"
"206011","39","F","0","1","8","156","19.5","146.1250000000000000","4","3","0","0.12500000000000000000","0.25000000000000000000","1","25","261.6475000000000000","113.3333333333333333","0.027416757314920378","0.125","2023-07-08 14:36:00"
